movieCd,movieNm,openDt,genre,nation,first_scrn,first_show,first_date,peak,first_week_audi,total_audi,days_in_top10
20258808,뽀로로 극장판 스위트캐슬 대모험,20251211,애니메이션,한국,439,631,20251211,1,90871,249736,29
20250024,블루 아카이브 : 디 오케스트라 인 시네마,20251212,공연,한국,47,62,20251212,1,3774,3924,1
20256396,아바타: 불과 재,20251217,SF|액션|어드벤처,미국,2582,8143,20251217,1,2042076,6731026,56
20259383,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,20251224,애니메이션,일본,76,76,20251220,1,308411,476133,29
20254219,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",20251224,멜로/로맨스,한국,12,13,20251222,1,435406,843211,29
20258621,척의 일생,20251224,드라마|판타지,미국,167,193,20251224,1,15833,17436,7
20250444,코드: G 주목의 시작,20251227,SF|드라마,한국,39,69,20251227,1,6285,7888,3
20249255,만약에 우리,20251231,멜로/로맨스,한국,19,19,20251216,1,591868,2594460,62
20247457,신의악단,20251231,드라마,한국,5,5,20251229,1,139947,1438794,77
20259893,화양연화 특별판,20251231,드라마,홍콩,174,197,20251231,1,25024,30151,6
20259333,누벨바그,20251231,드라마,프랑스,141,222,20251231,1,4051,4597,1
20259563,파더 마더 시스터 브라더,20251231,드라마,프랑스,63,68,20251231,1,3216,27131,5
20256173,스폰지밥 무비: 네모바지를 찾아서,20260101,애니메이션,미국,505,642,20260101,1,62086,81767,10
20258272,톰과 제리: 황금나침반 대소동,20260101,애니메이션,미국,406,484,20260101,1,26035,26491,4
20250115,굿 포츈,20260107,코미디|판타지,미국,353,496,20260107,1,23626,24026,7
20259250,피렌체,20260107,드라마,한국,198,239,20260107,1,10606,17124,5
20259584,마이 선샤인,20260107,드라마,일본,244,312,20260107,1,3012,4084,1
20258325,스노우 폭스 : 마법의 돌을 찾아서,20260110,애니메이션,미국,180,242,20260110,1,7109,7145,2
20259641,송 썽 블루,20260114,드라마,미국,19,19,20260105,1,7199,7199,2
20250188,하트맨,20260114,코미디,한국,16,18,20260110,1,178166,235159,15
20250482,"신비아파트 10주년 극장판: 한 번 더, 소환",20260114,애니메이션,한국,597,1033,20260114,1,166398,319083,21
20250438,끝이 없는 스칼렛,20260114,애니메이션,일본,165,322,20260114,1,3762,3762,1
20246546,보이,20260114,범죄|멜로/로맨스,한국,145,193,20260114,1,8466,12783,4
20250299,고고다이노 극장판: 곤충세계 대모험,20260114,애니메이션,한국,240,343,20260117,1,14550,33774,4
20249624,프로젝트 Y,20260121,범죄|드라마,한국,9,9,20260108,1,116465,116465,8
20240400,슈가,20260121,드라마|가족,한국,10,10,20260119,1,2084,2302,1
20258324,731,20260121,드라마,중국,314,492,20260121,1,10172,10172,2
20259552,시라트,20260121,드라마,스페인,191,233,20260122,1,17651,28422,5
