날짜,식사,메뉴
20251203,중식,칼슘강화기장밥|몽글달걀탕|연두부양념장|애호박볶음|치즈불닭|배추김치|붕어빵
20251204,중식,친환경현미밥|햄찌개|미트볼데리야끼볶음|가자미순살튀김|깍두기|브로콜리초장|초코우유
20251205,중식,카레라이스|고명유부국|마늘쫑무침|탄두리치킨|배추김치|방울토마토|인도난
20251208,중식,돈육감자탕|삼치무조림|곤드레나물밥양념장|단호박묵무침|배식용김|석박지|귤
20251209,중식,친환경잡곡밥|차돌박이된장찌개|숙주나물무침|치즈떡닭갈비|어묵바머스터드|배추김치|포도주스
20251217,중식,칼슘강화귀리밥|소고기버섯매운탕|브로콜리무침|닭볶음탕|고구마맛탕|배추김치|아이스홍시
20251218,중식,칼슘강화기장밥|얼큰동태탕|도토리묵무침|돈육불백|타코야끼|배추김치|초코과자|상추쌈장
20251219,중식,자장밥|오이탕탕이|파송송달걀국|미나리초무침|꿔바로우소스|배추김치|조각파인애플
20251222,중식,칼슘강화기장밥|얼갈이된장국|제육볶음|진미채고추장볶음|달래양념장|배추김치|키위
20251223,중식,친환경현미밥|순두부짬뽕국|도토리묵무침|매운어묵볶음|치즈가재구이|배추김치|크림치즈베이글
20251224,중식,김가루밥|크림스프|진미채야채무침|고구마치즈돈까스소스|스마일감자튀김|배추김치|성탄케이크
20251226,중식,친환경잡곡밥|참치김치찌개|달걀찜|더블치즈스테이크소스|깍두기|애플망고주스|양상추샐러드(발사믹D)
20251229,중식,칼슘강화밥|닭곰탕|물만두양념장|시금치나물|낙지야채볶음|배추김치|레드향
20251230,중식,김치볶음밥|마라샹궈|고명유부국|짜사이무침|치킨텐더머스터드|깍두기|딸기
20260202,중식,칼슘강화기장밥|케이크|쇠고기미역국|불닭팽이버섯|돼지갈비찜|해물완자전(계란)|배추김치
20260203,중식,칼슘강화기장밥|볼어묵국|무말랭이무침(자율)|치즈핫도그케찹|닭고기구이|배추김치|포도주스|깻잎쌈무
20260204,중식,스팸마요덮밥|고명유부국|돈육곤약장조림|봄동겉절이|회오리감자|배추김치
20260205,중식,추가밥|미니온메밀|떡볶이|목살스테이크|배추김치|딸기|양배추샐러드사우전D
20260304,중식,친환경칼슘기장밥|돈육감자탕|매콤콩나물무침|레몬크림깐쇼새우|석박지|두바이쫀득쿠키
20260305,중식,친환경현미밥|북어국|연근조림|매운닭볶음(정육)|풋마늘오징어무침|뱅글뱅글소세지|배추김치
20260306,중식,달걀볶음밥|마라탕|양파무침|꿔바로우소스|배추김치|조각파인애플
20260309,중식,칼슘강화기장밥|쇠고기미역국|매운갈비찜|시금치나물|야채달걀말이|배추김치|3월생일케이크
20260310,중식,나물비빔밥고추장|꼬치어묵국|브로콜리무침|타코야끼|배추김치|딸기
20260311,중식,친환경현미밥|단호박스프|쫄면야채무침|고구마치즈돈까스소스|깍두기|사과맛요구르트|양배추샐러드사우전D
20260312,중식,친환경보리밥|얼큰콩나물국|두부조림|무생채|돈육불백|배추김치|오렌지
20260313,중식,"친환경흑미밥|닭다리삼계탕|청포묵김가루무침|김치메밀전병|석박지|오이,당근,고추쌈장|소금우유아이스크림"
20260316,중식,친환경칼슘기장밥|얼큰동태탕|간장찜닭|오이생채|꽈배기|베이컨감자채전|배추김치
20260317,중식,친환경잡곡밥|참치김치찌개|너비아니조림|맛살달걀볶음|배식용김|총각김치|요거톡
20260318,중식,친환경흑미밥|쇠고기무국|물만두양념장|숙주나물무침|사과|주꾸미돈육볶|배추김치
20260319,중식,친환경강황밥|순두부찌개|유채나물무침|돈육간장불고기|소시지케찹볶음|배추김치|조각배
20260320,중식,후리가케밥(소)|미소국|떡볶이|깍두기|복숭아아이스티|치킨스낵랩
20260323,중식,친환경칼슘기장밥|햄찌개|도토리묵무침|닭카레볶음|궁채나물들깨볶음|깍두기|붕어빵
20260324,중식,비건햄김치볶음밥|고명장국|진미채고추장볶음|가자미순살튀김|총각김치|바나나
20260325,중식,친환경현미밥|달래된장국|달걀장조림|제육볶음|배추김치|양배추쌈/저염쌈장|초코우유
20260326,중식,친환경차수수밥|순대국|골뱅이야채무침|반달스테이크소스|석박지|오렌지
20260327,중식,추가밥|스파게티|코울슬로|조각피자|코코넛음료|오이피클
20260330,석식,참치야채비빔밥|팽이장국|매콤달걀조림|너비아니소스|배추김치|청사과아이스티
20260330,중식,추가밥|김치어묵우동(대)|청경채나물|새우까스칠리S|배추김치|오렌지주스
20260331,석식,백미밥|차돌박이된장찌개|미니소떡소떡|닭고기구이|배추김치|딸기|쌈야채(상추깻잎)쌈장
20260331,중식,친환경흑미밥|오징어무국|돌나물초회|치즈불닭|고구마맛탕|배추김치|방울토마토
20260401,석식,"추가밥|잔치국수|오징어초무침(무x,부찬)|고기지짐|배추김치|사과주스"
20260401,중식,친환경현미밥|닭개장|시금치나물|동그랑땡|코다리강정|배추김치|마카롱
20260402,석식,백미밥|얼갈이된장국|돈육김치볶음|분홍소시지전|조미김|깍두기|호상요구르트(딸기맛)
20260402,중식,친환경칼슘기장밥|돈육고추장찌개|쥐치포조림|간장찜닭|오징어김치전|깍두기|크림치즈베이글
20260403,중식,소고기우엉볶음밥|얼큰콩나물국|바베큐폭립|배식용김|깍두기|아이스망고|양배추샐러드사우전D
20260406,석식,백미밥|순두부찌개|달걀찜|진미채고추장볶음|유린가자미|배추김치|에너지바
20260406,중식,칼슘강화기장밥|쇠고기미역국|숙주나물무침|새송이버섯전|콩나물불고기|배추김치|골드키위케이크
20260407,석식,잡채밥|짬뽕국|꼬들단무지무침|깐쇼새우오징어볼강정|배추김치|후레쉬업(레몬라임)
20260407,중식,곤드레나물밥양념장|조랭이떡국|볼어묵조림|삼치감자조림|배추김치|야채모양찐빵
20260408,석식,백미밥|두부된장국|콩나물파채무침|돈육간장불고기|배추김치|상추쌈장S|복숭아아이스티
20260408,중식,친환경현미밥|팽이버섯된장국|진미채야채무침|닭볶음탕|오꼬노미야끼|배추김치|오렌지
20260409,석식,밥버거|고명장국|사과|닭꼬치양념치킨소스|깍두기|양배추샐러드(키위D)
20260409,중식,친환경보리밥|닭곰탕|제육볶음|해물경단|석박지|양배추쌈/저염쌈장|자두맛음료
20260410,중식,카레라이스|미소국|실곤약야채무침(초)|치즈새우칩|배추김치|조각파인애플
20260413,석식,백미밥|참치미역국|도토리묵무침|닭갈비|소시지야채볶음|깍두기|츄러스
20260413,중식,칼슘강화기장밥|고기만두국|올방개묵김치무침|오징어야채볶음(링)|미트볼데리야끼볶음|총각김치|청포도
20260414,석식,백미밥|감자찌개|시금치나물|매운어묵볶음|미니돈가스파채|배추김치|딸기
20260414,중식,자장밥|파송송달걀국|오이생채|반달단무지|꿔바로우소스|배추김치|벚꽃핀오레오
20260415,석식,비빔국수|미소국|군만두양념장|깍두기|흑당버블라떼|연근양상추샐러드(흑임자D)
20260415,중식,친환경현미밥|참치김치찌개|돈사태떡찜|야채달걀말이|깍두기|초코도너츠|브로콜리쌈다시마초장
20260416,석식,베이컨김치볶음밥|팽이장국|돈육메추리알조림|콩나물무침|깍두기|아이스크림(모나카)
20260416,중식,친환경차수수밥|돈육감자탕|두부쑥갓나물|햄감자볶음|생선까스콘소스|석박지|딸기우유
20260417,중식,순살양념치밥|고명장국|부추무침|떡갈비소스|깍두기|달콤한토마토
20260420,석식,백미밥|순대국|부추무침|고등어양념구이|석박지|딸기맛도너츠
20260420,중식,칼슘강화기장밥|근대된장국|매운갈비찜|청경채나물|떡꼬치소스|배추김치|과채주스
20260421,석식,백미밥|불마요들기름메밀국수|도토리묵사발|수육|무말랭이무침|보쌈김치
20260421,중식,콩나물밥/양념장|순두부짬뽕국|연근조림|고추장멸치볶음|배추김치|고구마치즈또띠아|키위
20260422,석식,소시지달걀볶음밥|고명유부국|실곤약야채무침|배추김치|또띠아피자|골드키위
20260422,중식,친환경잡곡밥|소고기무국|연두부양념장|닭김치찜|명엽채볶음|총각김치|미니핫도그케찹
