common_name,class,order,adult_weight_g,max_longevity_yrs,metabolic_rate_w,body_mass_g,female_maturity_days,gestation_days,litter_size,body_temp_k
Coastal tailed frog,Amphibia,Anura,,14.0,,,,32.0,62.0,
Firebelly toad,Amphibia,Anura,,20.0,,,1095.0,,190.0,
Oriental firebelly toad,Amphibia,Anura,,15.8,,,,,148.0,
Yellow-bellied toad,Amphibia,Anura,,29.0,,,,,73.0,
American toad,Amphibia,Anura,21.7667,36.0,0.00829,21.6,910.0,8.0,6000.0,288.0
Western toad,Amphibia,Anura,,11.5,,,1095.0,6.0,5200.0,
Arroyo toad,Amphibia,Anura,,8.0,,,,,,
Yosemite toad,Amphibia,Anura,,15.0,,,1825.0,11.0,1750.0,
Great plains toad,Amphibia,Anura,,10.7,,,730.0,4.0,11074.0,
Green toad,Amphibia,Anura,,12.4,,,,,1300.0,
Canadian toad,Amphibia,Anura,,13.3,,,730.0,,,
Red-spotted toad,Amphibia,Anura,,11.3,,,730.0,,1500.0,
Sonoran green toad,Amphibia,Anura,,15.3,,,,2.0,,
Southern toad,Amphibia,Anura,19.267,10.0,0.00698,19.2,,3.0,3250.0,288.0
Veragoa stubfoot toad,Amphibia,Anura,,10.0,,,,,,
Common European toad,Amphibia,Anura,,40.0,,,1460.0,,,
"Sonoran desert toad, or Colorado river toad",Amphibia,Anura,,15.4,,,,,7750.0,
Kihansi spray toad,Amphibia,Anura,,5.0,,,,,,
Ridge-headed toad,Amphibia,Anura,,10.7,,,,,,
Cuban toad,Amphibia,Anura,,20.0,,,,,,
European green toad,Amphibia,Anura,,11.9,,,,,,
Colombian giant toad,Amphibia,Anura,,28.7,,,,,,
Argentine toad,Amphibia,Anura,,,,,,,,
Cane toad,Amphibia,Anura,106.25,24.8,0.0303,105.0,365.0,2.0,10000.0,293.0
Eurura toad,Amphibia,Anura,,15.1,,,,,,
Common horned frog,Amphibia,Anura,,12.8,,,,,,
Colombian horned frog,Amphibia,Anura,,15.9,,,,,,
Amazonian horned frog,Amphibia,Anura,,10.3,,,,,,
Ornate horned frog,Amphibia,Anura,,14.7,,,,,,
Goliath frog,Amphibia,Anura,,5.9,,,,,,
Green and black dart-poison frog,Amphibia,Anura,,20.5,,,365.0,12.0,6.0,
Yellow-banded poison frog,Amphibia,Anura,,11.5,,,75.0,12.0,7.0,
Blue poison-dart frog,Amphibia,Anura,,,,,,,,
Kokoe-pa poison dart frog,Amphibia,Anura,,9.1,,,,,,
Strawberry poison frog,Amphibia,Anura,,7.5,,,,,,
Golfo dulce poison-dart frog,Amphibia,Anura,,,,,304.0,15.0,14.0,
African tigrine frog,Amphibia,Anura,48.1,10.9,,,,,,
Blanchard's cricket frog,Amphibia,Anura,1.0,,,,,,,
Northern cricket frog,Amphibia,Anura,,4.9,,,,,,
Treefrog,Amphibia,Anura,,12.8,,,,,,
European tree frog,Amphibia,Anura,,22.0,,,,,,
Cope's gray treefrog,Amphibia,Anura,,7.8,,,730.0,21.0,35.0,
Green treefrog,Amphibia,Anura,,,,,730.0,,1222.0,
Barking treefrog,Amphibia,Anura,,12.5,,,,,2250.0,
Japanese treefrog,Amphibia,Anura,,8.9,,,1278.0,,920.0,
Squirrel treefrog,Amphibia,Anura,,8.5,,,,1.0,1000.0,
Gray treefrog,Amphibia,Anura,7.2,7.8,0.00433,6.97,730.0,4.0,1800.0,290.5
Rosenberg's treefrog,Amphibia,Anura,,,,,,,775.0,
Australian green treefrog,Amphibia,Anura,,20.0,,,,,1100.0,
Cuban treefrog,Amphibia,Anura,,12.9,,,255.0,1.0,1500.0,
Hispaniola giant treefrog,Amphibia,Anura,,6.6,,,,,,
Mexican leaf frog,Amphibia,Anura,,8.7,,,,,,
Spring peeper,Amphibia,Anura,4.0,,0.00105,0.9,912.0,10.0,700.0,292.0
Paradox frog,Amphibia,Anura,,11.0,,,,,,
Mexican treefrog,Amphibia,Anura,,6.3,,,,,2480.0,
Lowland burrowing treefrog,Amphibia,Anura,,5.1,,,,,,
Masked treefrog,Amphibia,Anura,,4.1,,,,,2000.0,
Marbled treefrog,Amphibia,Anura,,10.5,,,,,,
Tungara frog,Amphibia,Anura,,18.8,,,,,,
Golden mantella,Amphibia,Anura,,10.9,,,,14.0,40.0,
Blue-legged mantella,Amphibia,Anura,,3.0,,,365.0,,,
Eastern narrow-mouthed toad,Amphibia,Anura,,6.8,,,547.0,1.0,722.0,
Malaysian narrowmouth toad,Amphibia,Anura,,11.0,,,,,,
Ornate narrow-mouthed frog,Amphibia,Anura,,5.0,,,547.0,,,
Red-banded frog,Amphibia,Anura,,10.3,,,,,,
Rainbow frog,Amphibia,Anura,,2.0,,,365.0,,,
Fleay's barred frog,Amphibia,Anura,,8.0,,,,,,
Common Eurasian spadefoot toad,Amphibia,Anura,,11.0,,,,8.0,1740.0,
Orange-eyed tree frog,Amphibia,Anura,,6.0,,,1096.0,,,
Lesueur's frog,Amphibia,Anura,,5.0,,,1096.0,,,
Pearson's green tree frog,Amphibia,Anura,,,,,730.0,,,
Red-eyed tree frog,Amphibia,Anura,,,,,,,,
Maroon-eyed tree frog,Amphibia,Anura,,5.5,,,,,,
Waxy treefrog,Amphibia,Anura,,10.3,,,,,,
Surinam toad,Amphibia,Anura,,7.7,,,,,,
African clawed frog,Amphibia,Anura,130.0,30.3,0.012,63.6,183.0,2.0,,288.0
African bullfrog,Amphibia,Anura,,45.0,,,,,,
Cape sand frog,Amphibia,Anura,,11.3,,,,,,
American bullfrog,Amphibia,Anura,54.4,16.0,0.0134,51.2,1277.0,4.0,,288.0
Green frog,Amphibia,Anura,,10.0,,,730.0,,4000.0,
Northern leopard frog,Amphibia,Anura,29.0222,9.0,0.00576,21.6,730.0,,4146.0,289.78
Mink frog,Amphibia,Anura,,6.0,,,730.0,,2250.0,
Wood frog,Amphibia,Anura,7.88,5.0,0.00416,7.8,912.0,,900.0,289.8
Carpenter frog,Amphibia,Anura,,6.2,,,,,,
Pool frog,Amphibia,Anura,,6.0,,,,,2420.0,
Black-spotted frog,Amphibia,Anura,,15.0,,,730.0,,2800.0,
Italian green frog,Amphibia,Anura,,6.8,,,912.0,6.0,,
Marsh frog,Amphibia,Anura,,11.0,,,1460.0,,6835.0,
Siberian wood frog,Amphibia,Anura,,9.0,,,1640.0,,2125.0,
Moor frog,Amphibia,Anura,,11.0,,,,,1750.0,
"Red-legged frog, or California red-legged frog",Amphibia,Anura,,15.0,,,,,,
Edible frog,Amphibia,Anura,,12.0,,,,,,
Iberian frog,Amphibia,Anura,,8.0,,,,,318.0,
Long-legged wood frog,Amphibia,Anura,,5.0,,,912.0,,2040.0,
European frog,Amphibia,Anura,,27.0,,,1095.0,,2585.0,
Couch's spadefoot,Amphibia,Anura,,6.7,,,,,3000.0,
Eastern spadefoot,Amphibia,Anura,,12.3,,,730.0,8.0,3872.0,
Great Basin spadefoot,Amphibia,Anura,,20.0,,,,3.0,676.0,
Northwestern salamander,Amphibia,Caudata,,10.2,,,730.0,,150.0,
Mabee's salamander,Amphibia,Caudata,,8.8,,,,,,
Long-toed salamander,Amphibia,Caudata,,10.0,,,730.0,40.0,250.0,
Spotted salamander,Amphibia,Caudata,12.84,32.0,0.005,12.8,1095.0,,125.0,290.0
Axolotl,Amphibia,Caudata,,17.0,,,548.0,18.0,,
Marbled salamander,Amphibia,Caudata,,11.3,,,1296.0,,100.0,
Chihuahuan mole salamander,Amphibia,Caudata,,14.4,,,,,,
Mole salamander,Amphibia,Caudata,,9.0,,,730.0,,350.0,
Small-mouthed salamander,Amphibia,Caudata,,13.8,,,,35.0,625.0,
Tiger salamander,Amphibia,Caudata,9.402,25.0,0.00196,3.21,1460.0,28.0,37.0,291.0
California giant salamander,Amphibia,Caudata,,16.9,,,,150.0,85.0,
Two-toed amphiuma,Amphibia,Caudata,200.967,27.0,0.00904,199.0,1460.0,150.0,200.0,288.0
Three-toed amphiuma,Amphibia,Caudata,,15.9,,,,135.0,200.0,
Chinese giant salamander,Amphibia,Caudata,,,,,,55.0,500.0,
Japanese giant salamander,Amphibia,Caudata,,55.0,,,1825.0,60.0,500.0,
Hellbender,Amphibia,Caudata,358.1,29.0,0.0253,358.0,1825.0,72.0,275.0,288.0
Boulenger's oriental salamander,Amphibia,Caudata,,11.9,,,,,32.0,
Chinese salamander,Amphibia,Caudata,,7.1,,,,,,
Clouded salamander,Amphibia,Caudata,,14.2,,,,,,
Japanese salamander,Amphibia,Caudata,,12.9,,,,,,
Long-tailed clawed salamander,Amphibia,Caudata,,17.0,,,,,,
Japanese clawed salamander,Amphibia,Caudata,,14.2,,,,,17.0,
Afghanistan salamander,Amphibia,Caudata,,11.0,,,,,,
Siberian salamander,Amphibia,Caudata,,8.0,,,,23.0,70.0,
Green salamander,Amphibia,Caudata,,,,,912.0,82.0,21.0,
Arboreal salamander,Amphibia,Caudata,,,,,1095.0,,14.5,
Giant palm salamander,Amphibia,Caudata,,6.9,,,,,,
Palm salamander,Amphibia,Caudata,,12.2,,,,,,
Seal salamander,Amphibia,Caudata,,17.7,,,1642.0,45.0,25.0,
Allegheny mountain dusky salamander,Amphibia,Caudata,0.6,19.8,,,1280.0,,16.0,
Black-bellied salamander,Amphibia,Caudata,14.34,15.0,0.00411,14.1,1280.0,,25.0,288.0
Black mountain salamander,Amphibia,Caudata,,20.0,,,1642.0,,26.0,
Ensatina,Amphibia,Caudata,,,,,1278.0,138.0,14.0,
Cave salamander,Amphibia,Caudata,,9.1,,,1095.0,13.0,73.0,
Texas blind salamander,Amphibia,Caudata,,10.3,,,,,,
Grotto salamander,Amphibia,Caudata,,9.9,,,,,,
Blue ridge two-lined salamander,Amphibia,Caudata,,8.0,,,1278.0,,32.0,
Tennessee cave salamander,Amphibia,Caudata,,18.5,,,,,,
Spring salamander,Amphibia,Caudata,,18.5,,,1460.0,,61.0,
Four-toed salamander,Amphibia,Caudata,,8.9,,,912.0,,30.0,
Red Hills salamander,Amphibia,Caudata,,19.7,,,2008.0,,9.0,
Eastern red-backed salamander,Amphibia,Caudata,0.5,25.0,9.9e-05,0.76,730.0,,8.0,278.5
Dunn's salamander,Amphibia,Caudata,,11.0,,,1095.0,70.0,9.4,
Del Norte salamander,Amphibia,Caudata,,13.3,,,,,7.0,
Northern slimy salamander,Amphibia,Caudata,4.2,20.1,0.00191,4.2,910.0,,21.0,288.0
Red-cheeked salamander,Amphibia,Caudata,,19.8,,,1825.0,,,
Western red-backed salamander,Amphibia,Caudata,,11.1,,,,,,
Yonahlossee salamander,Amphibia,Caudata,,,,,1095.0,,,
Mud salamander,Amphibia,Caudata,,15.1,,,1643.0,,,
Red salamander,Amphibia,Caudata,,20.1,,,1825.0,75.0,80.0,
Italian cave salamander,Amphibia,Caudata,,10.6,,,1278.0,304.0,10.0,
Mudpuppy,Amphibia,Caudata,,34.0,,,2190.0,50.0,68.0,
Dwarf waterdog,Amphibia,Caudata,,,,,1825.0,,30.0,
Olm,Amphibia,Caudata,17.0,102.0,,,4124.0,133.0,35.0,
Pyrenean brook newt,Amphibia,Caudata,,26.0,,,,,,
Brown newt,Amphibia,Caudata,,17.9,,,,,,
Japanese firebelly newt,Amphibia,Caudata,,25.0,,,913.0,20.0,200.0,
Laureutis alpine salamander,Amphibia,Caudata,,15.0,,,1460.0,,,
Bosca's newt,Amphibia,Caudata,,8.0,,,,,160.0,
Smooth newt,Amphibia,Caudata,,20.0,,,1095.0,,180.0,
Fazila's salamander,Amphibia,Caudata,,10.0,,,1096.0,365.0,,
Striped newt,Amphibia,Caudata,,12.9,,,487.0,,,
Eastern newt,Amphibia,Caudata,,25.0,,,2000.0,,,
Tsitou newt,Amphibia,Caudata,,6.5,,,,,,
Asian newt,Amphibia,Caudata,,10.3,,,,,,
Algerian newt,Amphibia,Caudata,,14.0,,,,,,
Iberian ribbed newt,Amphibia,Caudata,,19.5,,,,13.0,725.0,
Golden alpine salamander,Amphibia,Caudata,,17.0,,,,,,
European fire salamander,Amphibia,Caudata,19.1,24.0,0.00857,19.1,,,,288.0
Northern spectacled salamander,Amphibia,Caudata,,,,,,,,
Rough-skinned newt,Amphibia,Caudata,12.32,,0.00518,12.2,1278.0,23.0,,288.0
Red-bellied newt,Amphibia,Caudata,,,,,1825.0,18.0,10.0,
California newt,Amphibia,Caudata,,21.8,,,1095.0,45.0,122.0,
Italian crested newt,Amphibia,Caudata,,11.0,,,,,,
Northern crested newt,Amphibia,Caudata,,28.0,,,,16.0,225.0,
Marbled newt,Amphibia,Caudata,,25.0,,,1460.0,,,
Mandarin salamander,Amphibia,Caudata,,11.0,,,1460.0,,43.0,
Lesser siren,Amphibia,Caudata,,25.7,,,730.0,60.0,350.0,
Greater siren,Amphibia,Caudata,,25.0,,,,,500.0,
Mexican burrowing caecilian,Amphibia,Gymnophiona,,13.8,,,,,,
Yellow-striped caecilian,Amphibia,Gymnophiona,,7.3,,,,,,
Cayenne caecilian,Amphibia,Gymnophiona,,4.9,,,,,,
Aquatic caecilian,Amphibia,Gymnophiona,,,,,,,,
Cooper's hawk,Aves,Accipitriformes,526.64,20.3,,,730.0,24.0,4.0,
Brown goshawk,Aves,Accipitriformes,453.5,14.9,,,,,,
Northern goshawk,Aves,Accipitriformes,1044.2,22.0,,,365.0,33.0,3.0,
Eurasian sparrowhawk,Aves,Accipitriformes,237.5,20.2,0.9516,135.0,365.0,,,
Grey goshawk,Aves,Accipitriformes,479.583,,,,,,,
Sharp-shinned hawk,Aves,Accipitriformes,135.0,19.9,,,365.0,34.0,4.0,
Cinereous vulture,Aves,Accipitriformes,9625.0,39.0,,,1999.0,,,
Spanish imperial eagle,Aves,Accipitriformes,3000.0,44.5,,,1767.0,,,
Wedge-tailed eagle,Aves,Accipitriformes,3466.0,40.0,,,1638.0,,,
Golden eagle,Aves,Accipitriformes,4800.0,48.0,4.9929,3000.0,1460.0,40.0,2.0,
Bonelli's eagle,Aves,Accipitriformes,2000.0,20.0,,,1090.0,,,
Eastern imperical eagle,Aves,Accipitriformes,3262.0,56.0,,,1636.0,,,
Steppe eagle,Aves,Accipitriformes,2745.5,41.0,,,1454.0,,,
Lesser spotted eagle,Aves,Accipitriformes,1370.0,26.1,,,,,,
Tawny eagle,Aves,Accipitriformes,1996.1,40.3,,,1454.0,,,
Grey-faced buzzard,Aves,Accipitriformes,415.0,8.5,,,727.0,,,
Buzzard,Aves,Accipitriformes,1012.0,28.8,,,730.0,,,
Red-tailed hawk,Aves,Accipitriformes,1362.0,30.7,,,730.0,31.0,3.0,
Rough-legged hawk,Aves,Accipitriformes,980.64,18.8,,,730.0,29.0,5.0,
Red-shouldered hawk,Aves,Accipitriformes,607.0,22.4,2.11,658.0,365.0,33.0,3.5,
Broad-winged hawk,Aves,Accipitriformes,454.0,18.3,,,365.0,25.0,2.5,
Ferruginous hawk,Aves,Accipitriformes,1500.0,23.7,,,730.0,32.0,3.0,
Long-legged buzzard,Aves,Accipitriformes,1174.5,,,,727.0,,,
Hawaiian hawk,Aves,Accipitriformes,505.0,17.0,,,1096.0,38.0,1.0,
Swainson's hawk,Aves,Accipitriformes,980.64,24.9,,,730.0,31.0,3.0,
Common black hawk,Aves,Accipitriformes,837.0,13.5,,,730.0,38.0,1.5,
Brown snake eagle,Aves,Accipitriformes,2048.0,,,,,,,
Short-toed eagle,Aves,Accipitriformes,1699.5,17.3,,,1095.0,,,
Western marsh harrier,Aves,Accipitriformes,711.5,20.1,,,730.0,,,
Swamp harrier,Aves,Accipitriformes,752.5,11.0,,,,,,
Northern harrier,Aves,Accipitriformes,392.0,17.1,,,365.0,31.0,4.4,
Pallid harrier,Aves,Accipitriformes,388.5,13.5,,,727.0,,,
Montagu's harrier,Aves,Accipitriformes,315.5,16.3,,,730.0,,,
Black-shouldered kite,Aves,Accipitriformes,265.5,3.5,,,,,,
Black-winged kite,Aves,Accipitriformes,260.5,6.0,,,363.0,,,
White-tailed kite,Aves,Accipitriformes,280.0,6.0,,,727.0,30.0,4.1,
Black-chested buzzard-eagle,Aves,Accipitriformes,2447.5,42.0,5.1887,2860.0,,,,
Bearded vulture,Aves,Accipitriformes,5070.0,40.0,,,2544.0,,,
Palm-nut vulture,Aves,Accipitriformes,1600.0,27.1,,,1454.0,,,
White-backed vulture,Aves,Accipitriformes,5433.0,19.7,,,2181.0,,,
"White-rumped vulture, or Bengal vulture",Aves,Accipitriformes,4385.0,,,,,,,
Cape vulture,Aves,Accipitriformes,8177.0,31.2,,,,,,
"Griffon vulture, or Eurasian griffon",Aves,Accipitriformes,7436.0,41.4,,,1460.0,,,
White-tailed sea-eagle,Aves,Accipitriformes,6696.5,42.0,,,1460.0,41.0,2.0,
Bald eagle,Aves,Accipitriformes,3175.0,48.0,,,1460.0,35.0,2.0,
Brahminy kite,Aves,Accipitriformes,529.0,24.5,,,,,,
Whistling kite,Aves,Accipitriformes,755.0,20.4,,,,,,
Harpy eagle,Aves,Accipitriformes,4800.0,16.8,,,1817.0,,,
New Guinea eagle,Aves,Accipitriformes,2000.0,30.0,,,,,,
Little eagle,Aves,Accipitriformes,791.0,38.7,,,,,,
Mississippi kite,Aves,Accipitriformes,266.0,11.2,,,365.0,31.0,2.0,
Lizard buzzard,Aves,Accipitriformes,280.5,8.6,,,727.0,,,
Square-tailed kite,Aves,Accipitriformes,585.5,17.0,,,,,,
Black kite,Aves,Accipitriformes,1000.0,24.0,,,1095.0,,,
Red kite,Aves,Accipitriformes,1080.0,38.0,,,1095.0,,,
Hooded vulture,Aves,Accipitriformes,2043.0,21.3,,,,,,
Egyptian vulture,Aves,Accipitriformes,2082.0,37.0,,,1817.0,,,
Harris's hawk,Aves,Accipitriformes,994.26,25.0,,,365.0,34.0,3.0,
"European honey buzzard, or Western honey-buzzard",Aves,Accipitriformes,758.0,29.0,2.36428,652.0,1095.0,,,
Philippine eagle,Aves,Accipitriformes,6500.0,41.0,,,1825.0,63.0,1.0,
Snail kite,Aves,Accipitriformes,352.5,17.0,,,365.0,30.0,3.0,
Bateleur,Aves,Accipitriformes,2200.0,55.0,,,,,,
Lappet-faced vulture,Aves,Accipitriformes,,23.9,,,,,,
White-headed vulture,Aves,Accipitriformes,3016.0,5.7,,,,,,
Turkey vulture,Aves,Accipitriformes,2200.0,20.8,,,4015.0,39.0,2.0,
Black vulture,Aves,Accipitriformes,2270.0,25.5,,,2920.0,35.0,2.0,
California condor,Aves,Accipitriformes,11175.0,45.0,,,2190.0,57.0,1.0,
King vulture,Aves,Accipitriformes,3405.0,40.0,,,,57.0,,
Andean condor,Aves,Accipitriformes,10500.0,79.0,,,2555.0,56.0,1.0,
Eastern osprey,Aves,Accipitriformes,1527.5,21.0,,,1093.0,,,
Osprey,Aves,Accipitriformes,1362.0,32.0,,,1095.0,38.0,3.0,
Mandarin duck,Aves,Anseriformes,570.0,10.4,,,363.0,29.0,10.5,
Wood duck,Aves,Anseriformes,452.8,22.5,2.247,448.0,365.0,31.0,12.0,
Egyptian goose,Aves,Anseriformes,1900.0,25.5,,,730.0,29.0,7.0,
Northern pintail,Aves,Anseriformes,721.0,27.4,,,240.0,22.0,7.5,
American wigeon,Aves,Anseriformes,793.8,21.3,,,365.0,23.0,9.0,
White-cheeked pintail,Aves,Anseriformes,491.7,,,,,,,
Chestnut teal,Aves,Anseriformes,590.0,,,,,,,
Northern shoveler,Aves,Anseriformes,613.0,22.6,3.9209,554.0,240.0,23.0,11.0,
Green-winged teal,Aves,Anseriformes,343.8,27.1,1.68388,250.0,180.0,22.0,10.0,
Cinnamon teal,Aves,Anseriformes,411.0,12.9,,,365.0,23.0,10.0,
Blue-winged teal,Aves,Anseriformes,420.0,23.2,,,240.0,24.0,10.0,
Mottled duck,Aves,Anseriformes,950.0,20.0,,,365.0,26.0,10.0,
Grey teal,Aves,Anseriformes,488.75,31.7,,,,,,
Laysan duck,Aves,Anseriformes,500.0,12.0,,,365.0,28.0,3.8,
Eurasian wigeon,Aves,Anseriformes,660.0,35.2,2.8538,723.0,365.0,24.0,8.0,
Mallard,Aves,Anseriformes,1048.1,29.1,4.068,1020.0,365.0,26.0,9.0,
Garganey,Aves,Anseriformes,326.0,14.7,,,365.0,,,
Australasian shoveler,Aves,Anseriformes,665.0,,,,,,,
American black duck,Aves,Anseriformes,998.7,26.6,3.6076,904.0,365.0,28.0,9.0,
Gadwall,Aves,Anseriformes,791.0,28.0,,,240.0,26.0,10.0,
Pacific black duck,Aves,Anseriformes,981.0,27.2,,,,,,
Greater white-fronted goose,Aves,Anseriformes,2681.0,47.0,,,1095.0,27.0,5.0,
Greylag goose,Aves,Anseriformes,3308.5,31.0,,,1095.0,,,
Pink-footed goose,Aves,Anseriformes,2645.0,40.9,,,1095.0,,,
Lesser white-fronted goose,Aves,Anseriformes,1779.25,14.8,,,1090.0,,,
Bean goose,Aves,Anseriformes,3348.0,25.6,,,1095.0,28.0,4.0,
Lesser scaup,Aves,Anseriformes,787.0,18.3,,,365.0,24.0,10.0,
Redhead,Aves,Anseriformes,1077.3,22.6,,,365.0,26.0,13.0,
Hardhead,Aves,Anseriformes,840.0,,,,,,,
Ring-necked duck,Aves,Anseriformes,737.0,20.4,,,365.0,27.0,9.0,
Common pochard,Aves,Anseriformes,823.0,23.2,,,365.0,,,
Tufted duck,Aves,Anseriformes,701.5,45.2,,,365.0,,,
Greater scaup,Aves,Anseriformes,928.5,22.1,,,365.0,26.0,9.0,
Canvasback,Aves,Anseriformes,1208.8,29.5,,,240.0,24.0,9.0,
Musk duck,Aves,Anseriformes,1697.5,6.2,,,,,,
Brent goose,Aves,Anseriformes,1163.2,28.8,,,730.0,24.0,4.0,
Canada goose,Aves,Anseriformes,3200.0,42.0,,,730.0,26.0,5.0,
Cackling goose,Aves,Anseriformes,1940.1,18.3,,,730.0,,,
Barnacle goose,Aves,Anseriformes,1687.0,28.2,,,730.0,,,
Hawaiian goose,Aves,Anseriformes,2150.0,42.0,,,912.0,30.0,4.0,
Bufflehead,Aves,Anseriformes,400.0,18.7,,,730.0,30.0,8.0,
Common goldeneye,Aves,Anseriformes,895.86,20.9,,,730.0,30.0,10.0,
Barrow's goldeneye,Aves,Anseriformes,957.15,18.0,,,730.0,29.0,11.0,
Ringed teal,Aves,Anseriformes,365.5,,,,365.0,,,
Cape barren goose,Aves,Anseriformes,3980.0,29.1,,,,,,
Snow goose,Aves,Anseriformes,2806.65,27.5,,,730.0,24.0,4.0,
Emperor goose,Aves,Anseriformes,2148.0,12.0,,,365.0,24.0,4.9,
Ross's goose,Aves,Anseriformes,1715.0,22.5,,,570.0,21.0,4.0,
Maned duck,Aves,Anseriformes,812.5,9.1,,,,,,
Oldsquaw,Aves,Anseriformes,872.0,22.7,,,730.0,24.0,7.0,
Black swan,Aves,Anseriformes,5650.0,24.7,,,821.0,,,
Trumpeter swan,Aves,Anseriformes,13000.0,32.5,,,730.0,35.0,5.0,
Tundra swan,Aves,Anseriformes,6350.0,24.1,,,730.0,31.0,4.0,
Whooper swan,Aves,Anseriformes,9350.0,26.7,,,1460.0,,,
Mute swan,Aves,Anseriformes,8300.0,40.0,,,1095.0,36.0,5.3,
Black-bellied whistling duck,Aves,Anseriformes,828.0,8.2,,,365.0,27.0,14.0,
Fulvous whistling duck,Aves,Anseriformes,737.1,11.2,,,365.0,25.0,13.0,
Plumed whistling duck,Aves,Anseriformes,792.0,,,,,,,
White-faced whistling duck,Aves,Anseriformes,610.0,12.0,,,,27.0,8.0,
Harlequin duck,Aves,Anseriformes,561.25,14.6,,,365.0,28.0,6.0,
Hooded merganser,Aves,Anseriformes,634.375,15.7,,,730.0,31.0,11.0,
Pink-eared duck,Aves,Anseriformes,360.75,,,,,,,
White-winged scoter,Aves,Anseriformes,1360.8,21.4,,,730.0,28.0,11.0,
Black scoter,Aves,Anseriformes,1052.2,16.8,,,730.0,29.0,9.0,
Surf scoter,Aves,Anseriformes,1097.5,9.5,,,730.0,,,
Smew,Aves,Anseriformes,610.0,10.0,,,727.0,,,
Common merganser,Aves,Anseriformes,1445.0,14.8,,,730.0,30.0,10.0,
Red-breasted merganser,Aves,Anseriformes,1020.6,21.3,,,730.0,32.0,10.0,
Red-crested pochard,Aves,Anseriformes,1118.0,12.9,,,365.0,,,
Blue-billed duck,Aves,Anseriformes,798.0,16.0,,,,,,
Ruddy duck,Aves,Anseriformes,542.0,20.0,,,365.0,23.0,8.0,
Spur-winged goose,Aves,Anseriformes,3869.0,11.3,,,,,,
Steller's eider,Aves,Anseriformes,907.2,23.0,,,730.0,26.0,8.0,
Spectacled eider,Aves,Anseriformes,1558.0,18.0,,,730.0,,4.7,
Common eider,Aves,Anseriformes,2130.0,37.8,,,730.0,28.0,4.0,
King eider,Aves,Anseriformes,1617.0,18.9,,,730.0,23.0,5.0,
Common shelduck,Aves,Anseriformes,1152.0,24.8,,,730.0,,,
Australian shelduck,Aves,Anseriformes,1364.0,13.1,,,,,,
Magpie goose,Aves,Anseriformes,2071.0,24.8,,,730.0,,,
Australian owlet-nightjar,Aves,Apodiformes,44.125,5.9,,,,,,
Australian swiftlet,Aves,Apodiformes,11.875,9.3,,,,,,
White-throated swift,Aves,Apodiformes,31.0,10.0,,,,24.0,4.0,
Common swift,Aves,Apodiformes,37.6,21.1,0.4372,44.9,730.0,,,
Alpine swift,Aves,Apodiformes,102.7,26.0,,,730.0,,,
Chimney swift,Aves,Apodiformes,22.8,15.0,,,365.0,20.0,4.5,
Vaux's swift,Aves,Apodiformes,17.0,,,,365.0,19.0,6.0,
Black swift,Aves,Apodiformes,45.0,16.1,,,365.0,24.0,1.0,
Violet-crowned hummingbird,Aves,Apodiformes,5.1,6.1,,,,,,
Buff-bellied hummingbird,Aves,Apodiformes,3.9,11.2,,,,,,
Black-chinned hummingbird,Aves,Apodiformes,3.0,11.2,,,365.0,,2.0,
Ruby-throated hummingbird,Aves,Apodiformes,3.1,9.1,0.07832,3.2,365.0,13.0,2.0,
Lucifer hummingbird,Aves,Apodiformes,3.3,4.1,,,,15.0,2.0,
Anna's hummingbird,Aves,Apodiformes,4.4,8.5,0.1175,4.8,365.0,16.0,2.0,
Costa's hummingbird,Aves,Apodiformes,3.1,6.0,,,,16.0,2.0,
Broad-billed hummingbird,Aves,Apodiformes,3.3,8.8,,,365.0,17.0,2.0,
Magnificent hummingbird,Aves,Apodiformes,8.1,11.0,,,365.0,14.0,2.0,
Blue-throated hummingbird,Aves,Apodiformes,7.6,12.0,,,365.0,18.0,2.0,
Garnet-throated hummingbird,Aves,Apodiformes,7.8,8.0,,,,,,
Broad-tailed hummingbird,Aves,Apodiformes,4.2,14.0,,,365.0,16.0,2.0,
Rufous hummingbird,Aves,Apodiformes,3.5,8.9,0.06853,3.8,365.0,16.0,2.0,
Allen's hummingbird,Aves,Apodiformes,3.0,,0.06853,3.7,730.0,16.0,2.0,
Calliope hummingbird,Aves,Apodiformes,2.6,7.0,0.06853,3.0,365.0,15.0,2.0,
Brown kiwi,Aves,Apterygiformes,2600.0,35.0,4.029,2380.0,1461.0,75.0,1.0,
Great hornbill,Aves,Bucerotiformes,2798.5,33.4,,,,,,
Grey-cheeked hornbill,Aves,Bucerotiformes,1250.0,31.8,,,,,,
Black-casqued hornbill,Aves,Bucerotiformes,1203.5,19.3,,,,,,
Southern ground hornbill,Aves,Bucerotiformes,3767.5,70.0,,,1638.0,,,
Eurasian hoopoe,Aves,Bucerotiformes,67.1,11.1,,,365.0,,,
Chuck-will's-widow,Aves,Caprimulgiformes,115.0,14.8,,,,20.0,2.5,
Eurasian nightjar,Aves,Caprimulgiformes,67.0,11.9,,,365.0,,,
Red-necked nightjar,Aves,Caprimulgiformes,68.5,13.2,,,,,,
Whip-poor-will,Aves,Caprimulgiformes,54.0,15.0,,,,19.0,2.0,
Common nighthawk,Aves,Caprimulgiformes,79.3,10.0,0.4421,72.0,,19.0,2.0,
