영화명,스크린수,상영횟수,순위,관객수,상영당관객,최종관객
극장판 도라에몽: 진구와 하늘의 유토피아,283,616,7,14876,24.1,52202
틴에이지 크라켄 루비,201,267,10,3174,11.9,25390
런닝맨: 리벤져스,199,297,10,3720,12.5,47099
마야 3: 숲속 왕국의 위기,203,340,6,7831,23.0,35777
미션 임파서블: 데드 레코닝 PART ONE,2437,9565,1,229753,24.0,4015548
극장판 슈퍼윙스: 맥시멈 스피드,303,347,8,4806,13.9,114209
바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,198,324,10,3014,9.3,69558
바비,748,2341,4,45083,19.3,561000
인시디어스: 빨간 문,758,1716,5,40023,23.3,358466
몬스터 패밀리 2,427,718,6,17346,24.2,103754
플라워 킬링 문,562,966,2,12992,13.4,161754
생츄어리: 마법의 소원나무,188,252,9,4301,17.1,10149
타겟,923,3476,2,33979,9.8,419065
메가로돈 2,405,739,7,6569,8.9,117814
신체모음.zip,252,646,6,5497,8.5,51250
치치치 치킨의 비밀,156,191,10,2579,13.5,4868
블루 자이언트,534,1162,8,4463,3.8,100736
가문의 영광: 리턴즈,817,2994,2,16562,5.5,156442
크레센도,73,109,8,2392,21.9,19125
그란 투리스모,778,2353,3,11309,4.8,84827
조이 라이드,202,300,9,1872,6.2,7644
아르고 원정대: 꼬마 영웅 패티의 대모험,289,309,8,3861,12.5,64267
닌자터틀: 뮤턴트 대소동,636,1378,4,18840,13.7,56001
마브카 : 숲의 노래,479,630,7,8494,13.5,33946
아이유 콘서트 : 더 골든 아워,61,151,4,9191,60.9,84869
시뮬런트,254,341,7,3642,10.7,8278
크리에이터,817,2453,3,16412,6.7,250971
베니스 유령 살인사건,876,3468,2,25060,7.2,195443
극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,575,969,5,14978,15.5,115204
괴물,623,1681,3,13812,8.2,378193
80일간의 세계일주,147,202,10,3318,16.4,14801
익스펜더블 4,612,1499,3,8271,5.5,50222
퍼피 구조대: 더 마이티 무비,499,711,5,17830,25.1,166362
사나: 저주의 아이,188,525,5,7934,15.1,68077
더 넌 2,683,1897,4,33307,17.6,352374
이빨요정 비올레타: 요정나라로 돌아갈래!,287,489,8,9991,20.4,53554
시수,161,194,9,1197,6.2,9474
바람 따라 만나리 : 김호중의 계절,74,228,9,3156,13.8,37358
그대들은 어떻게 살 것인가,1733,6768,1,255230,37.7,1994623
톡 투 미,604,1567,4,13885,8.9,168385
뽀로로 극장판 슈퍼스타 대모험,524,723,5,8531,11.8,309794
마이 샤이니 월드,17,52,9,3129,60.2,3969
헝거게임: 노래하는 새와 뱀의 발라드,986,2657,2,22419,8.4,171505
극장판 우당탕탕 은하안전단: 진정한 용기!,150,173,10,1405,8.1,22117
엑소시스트: 믿는 자,576,1344,4,7427,5.5,75643
스노우 폭스: 썰매개가 될 거야!,260,269,7,3107,11.6,91709
여귀교- 저주를 부르는 게임,401,728,7,5948,8.2,6434
프레디의 피자가게,679,1885,1,48561,25.8,692478
더 마블스,1474,6474,1,50137,7.7,680743
나폴레옹,822,2161,3,33877,15.7,220345
더 킬러,75,143,10,1483,10.4,10048
극장판 파워 디지몬 더 비기닝,176,306,7,2768,9.0,24440
도티와 영원의 탑,306,353,9,4504,12.8,29724
테일러 스위프트 디 에라스 투어,51,69,6,4548,65.9,20451
트롤: 밴드 투게더,563,722,4,11186,15.5,305999
비투비 타임 : 비투게더 더 무비,32,52,10,4526,87.0,4526
리빙: 어떤 인생,37,60,10,836,13.9,7805
엔시티 네이션 : 투 더 월드 인 시네마,87,282,6,7574,26.9,16910
쏘우 X,554,1150,6,8355,7.3,55037
아쿠아맨과 로스트 킹덤,965,2656,3,41127,15.5,658932
말하고 싶은 비밀,398,661,7,7129,10.8,50645
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",186,201,10,4386,21.8,32419
류이치 사카모토: 오퍼스,251,417,6,11171,26.8,26535
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,856,1758,4,104377,59.4,503279
서치 2,861,3167,4,27320,8.6,403997
너의 눈을 들여다보면,71,87,10,885,10.2,3493
방탄소년단: 옛 투 컴 인 시네마,118,557,9,7332,13.2,77180
꼬마돼지 베이브의 바다 대모험,315,368,9,3409,9.3,8101
바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,226,342,7,4733,13.8,28256
플로라 앤 썬,114,404,6,6606,16.4,21116
