country,iso,electricity_twh,population,demand_per_capita_kwh,solar_pct,wind_pct,hydro_pct,nuclear_pct,fossil_pct,renewables_pct
Solomon Islands,SLB,0.11,819206.0,134.276,9.091,0.0,0.0,0.0,90.909,9.091
Somalia,SOM,0.43,19009155.0,22.621,18.605,2.326,0.0,0.0,79.07,20.93
South Africa,ZAF,247.52,64007187.0,3846.756,7.393,4.484,0.444,3.151,84.337,12.512
South Korea,KOR,625.38,51717587.0,12092.212,5.232,0.537,0.688,30.182,60.109,9.709
South Sudan,SSD,0.56,11943410.0,46.888,1.786,0.0,0.0,0.0,98.214,1.786
Spain,ESP,280.94,47910533.0,5650.323,20.748,22.14,12.248,19.41,23.254,57.336
Sri Lanka,LKA,17.07,23103561.0,738.847,7.674,5.097,41.066,0.0,44.757,55.243
Sudan,SDN,14.77,50448960.0,308.629,1.083,0.0,77.861,0.0,20.311,79.689
Suriname,SUR,1.74,634438.0,2742.585,0.575,0.0,51.724,0.0,47.126,52.874
Sweden,SWE,172.15,10606993.0,13077.223,2.416,23.497,37.531,29.434,1.208,69.358
Switzerland,CHE,78.37,8921979.0,7169.934,7.222,0.23,57.343,30.649,1.901,67.449
Syria,SYR,24.88,24672758.0,984.081,0.402,0.0,3.014,0.0,96.463,3.537
Taiwan,TWN,288.56,23213964.0,12430.449,5.164,3.58,1.459,4.221,84.859,10.92
Tajikistan,TJK,22.2,10590930.0,1850.64,0.0,0.0,94.595,0.0,5.405,94.595
Tanzania,TZA,8.84,68560162.0,131.709,0.452,0.0,31.674,0.0,67.081,32.919
Thailand,THA,199.52,71668010.0,3236.172,2.722,1.694,3.213,0.0,85.159,14.841
Togo,TGO,0.71,8406554.0,262.89,18.31,0.0,11.268,0.0,70.423,29.577
Tonga,TON,0.07,104192.0,671.837,14.286,0.0,0.0,0.0,85.714,14.286
Trinidad and Tobago,TTO,9.55,1507778.0,6333.824,0.105,0.0,0.0,0.0,99.895,0.105
Tunisia,TUN,21.37,12277103.0,1951.6,2.62,1.731,0.047,0.0,95.601,4.399
Turkey,TUR,341.23,87473800.0,3889.622,7.523,10.705,21.853,0.0,54.386,45.614
Turkmenistan,TKM,33.01,7494494.0,3203.685,0.0,0.0,0.03,0.0,99.97,0.03
Turks and Caicos Islands,TCA,0.27,46563.0,5798.596,3.704,0.0,0.0,0.0,96.296,3.704
Uganda,UGA,5.81,50015091.0,107.368,2.926,0.0,86.059,0.0,2.926,97.074
United Arab Emirates,ARE,177.26,11027135.0,16053.128,8.581,0.113,,22.921,68.267,8.812
United Kingdom,GBR,284.16,69138185.0,4590.083,5.205,29.307,2.027,14.284,35.068,50.648
United States,USA,4391.02,345426566.0,12751.856,6.918,10.291,5.398,17.806,58.131,24.063
Uruguay,URY,13.37,3386583.0,4287.508,4.188,38.594,33.657,0.0,1.122,98.878
Uzbekistan,UZB,81.5,36361859.0,2321.938,3.558,2.331,10.061,0.0,84.049,15.951
Venezuela,VEN,80.13,28405544.0,2820.928,0.012,0.025,91.102,0.0,8.861,91.139
Vietnam,VNM,303.58,100987685.0,3041.757,8.518,4.2,29.225,0.0,57.718,42.282
Yemen,YEM,5.25,40583173.0,129.364,11.238,0.0,0.0,0.0,88.762,11.238
Zambia,ZMB,19.72,21314962.0,778.796,0.862,0.0,86.207,0.0,12.525,87.475
Zimbabwe,ZWE,10.26,16634366.0,727.41,0.39,0.0,55.556,0.0,42.885,57.115
